trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
117,False,"{'a': 0.1, 'e': 0.6475963386538773}",20,11,-28.67635085902948,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 0}",1
118,False,"{'a': 0.1, 'e': 0.7204324789908387}",25,0,-183.61720543501116,"{0: 16, 1: 1, 2: 4, 3: 0, 4: 4}",0
119,False,"{'a': 0.1, 'e': 0.7860702961410393}",20,0,-116.91044066024932,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
120,False,"{'a': 0.1, 'e': 0.8438539587324921}",25,0,-192.8927987023225,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
121,False,"{'a': 0.1, 'e': 0.8932061115093233}",25,0,-78.68319310993242,"{0: 14, 1: 3, 2: 8, 3: 0, 4: 0}",0
122,False,"{'a': 0.1, 'e': 0.9336336440746379}",30,0,-108.34544038602907,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
123,False,"{'a': 0.1, 'e': 0.9647326178866098}",30,0,-103.87263474909511,"{0: 19, 1: 4, 2: 5, 3: 1, 4: 1}",0
124,False,"{'a': 0.1, 'e': 0.9861923022788637}",20,0,-88.19266750510161,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
125,False,"{'a': 0.1, 'e': 0.9977982791785807}",30,5,-18.08849050733187,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",1
126,False,"{'a': 0.1, 'e': 0.9994345855010047}",20,0,-110.15591116145863,"{0: 10, 1: 1, 2: 8, 3: 0, 4: 1}",0
127,False,"{'a': 0.1, 'e': 0.991084871814253}",30,0,-134.69781190630252,"{0: 19, 1: 2, 2: 7, 3: 0, 4: 2}",0
128,False,"{'a': 0.1, 'e': 0.9728325656974354}",30,0,-84.88609668335292,"{0: 21, 1: 2, 2: 6, 3: 0, 4: 1}",0
129,False,"{'a': 0.1, 'e': 0.9448600381598606}",20,10,-22.595246277066472,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
130,False,"{'a': 0.1, 'e': 0.9074467814501962}",30,0,-302.37629321572257,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 6}",0
131,False,"{'a': 0.1, 'e': 0.8609666164623057}",25,10,-29.574268877718477,"{0: 10, 1: 1, 2: 4, 3: 0, 4: 0}",1
132,False,"{'a': 0.1, 'e': 0.8058839576404497}",30,0,-112.75261344047898,"{0: 19, 1: 6, 2: 3, 3: 0, 4: 2}",0
133,False,"{'a': 0.1, 'e': 0.7427491727036695}",25,0,-151.95497196853196,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
134,False,"{'a': 0.1, 'e': 0.6721930835534681}",25,0,-103.54952441218012,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
135,False,"{'a': 0.1, 'e': 0.594920663309892}",20,4,-114.80272063838468,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 3}",1
136,False,"{'a': 0.1, 'e': 0.5117039924531475}",20,0,-117.54973420854857,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
137,False,"{'a': 0.1, 'e': 0.42337454445066386}",30,0,-64.61026144729105,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",1
138,False,"{'a': 0.1, 'e': 0.33081487794904696}",20,3,-30.21571464380436,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
139,False,"{'a': 0.1, 'e': 0.23494981853982308}",20,10,-3.9046790604305226,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 0}",1
140,False,"{'a': 0.1, 'e': 0.1367372182078336}",30,4,-4.266028712517964,"{0: 23, 1: 0, 2: 2, 3: 1, 4: 0}",1
141,False,"{'a': 0.1, 'e': 0.03715838479082463}",25,0,38.69780738758261,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.1, 'e': 0.06279172292408354}",30,20,21.383012396656593,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.1, 'e': 0.16211443649971827}",25,0,-53.04392232923078,"{0: 20, 1: 0, 2: 4, 3: 0, 4: 1}",0
144,False,"{'a': 0.1, 'e': 0.25981735621375585}",20,2,-10.38012670134113,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 0}",1
145,False,"{'a': 0.1, 'e': 0.354924266788705}",25,0,-115.84770588667577,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
146,False,"{'a': 0.1, 'e': 0.4464848914122672}",25,0,-95.34846126058234,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
147,False,"{'a': 0.1, 'e': 0.5335843865891192}",20,0,-18.075913478097743,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
148,False,"{'a': 0.1, 'e': 0.6153524829547208}",20,0,-127.75110038119239,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
149,False,"{'a': 0.1, 'e': 0.6909721807191258}",20,0,-48.0606632169412,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
150,False,"{'a': 0.1, 'e': 0.7596879128588213}",20,0,-70.35570402017369,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
151,False,"{'a': 0.1, 'e': 0.8208130944926693}",20,0,-95.09363179630512,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
152,False,"{'a': 0.1, 'e': 0.873736983011081}",30,0,-198.73030235515566,"{0: 19, 1: 2, 2: 5, 3: 0, 4: 4}",0
153,False,"{'a': 0.1, 'e': 0.9179307804142932}",20,0,-43.417901849105704,"{0: 13, 1: 4, 2: 2, 3: 1, 4: 0}",0
154,False,"{'a': 0.1, 'e': 0.9529529168871803}",30,0,-113.18895632159905,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
155,False,"{'a': 0.1, 'e': 0.9784534628188842}",25,0,-41.154814898591084,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
156,False,"{'a': 0.1, 'e': 0.9941776251838154}",20,1,-38.7406810829847,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 0}",1
157,False,"{'a': 0.1, 'e': 0.9999682933493399}",25,0,-101.64829880261466,"{0: 13, 1: 3, 2: 8, 3: 1, 4: 0}",0
158,False,"{'a': 0.1, 'e': 0.9957676088732885}",25,0,-172.82100314412955,"{0: 11, 1: 3, 2: 9, 3: 0, 4: 2}",0
159,False,"{'a': 0.1, 'e': 0.9816175436063844}",30,0,-143.84007620260223,"{0: 22, 1: 0, 2: 5, 3: 0, 4: 3}",0
160,False,"{'a': 0.1, 'e': 0.9576594803233847}",20,0,-101.72009854780838,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
161,False,"{'a': 0.1, 'e': 0.9241328000731296}",25,0,-82.77502851369485,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
162,False,"{'a': 0.1, 'e': 0.8813724903622346}",20,0,-35.39362145214345,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
163,False,"{'a': 0.1, 'e': 0.829805798070649}",20,0,-84.28670538883911,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
164,False,"{'a': 0.1, 'e': 0.7699479605420695}",25,0,-57.768067624827495,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
165,False,"{'a': 0.1, 'e': 0.7023970575027135}",25,11,-60.56669447481973,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 1}",1
166,False,"{'a': 0.1, 'e': 0.627828035246386}",20,3,-136.92504807969647,"{0: 7, 1: 1, 2: 7, 3: 0, 4: 2}",1
167,False,"{'a': 0.1, 'e': 0.5469859627942356}",20,0,-38.77518892268628,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
168,False,"{'a': 0.1, 'e': 0.46067858741136253}",25,0,-87.31442949746497,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
169,False,"{'a': 0.1, 'e': 0.3697682638631698}",25,0,-84.01375323709719,"{0: 18, 1: 4, 2: 1, 3: 0, 4: 2}",0
170,False,"{'a': 0.1, 'e': 0.27516333805159693}",30,0,-55.59621158514443,"{0: 24, 1: 3, 2: 1, 3: 1, 4: 1}",0
171,False,"{'a': 0.1, 'e': 0.17780907112311564}",30,24,10.71743103742686,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.07867819473184015}",20,0,-41.792023037685595,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",1
173,False,"{'a': 0.1, 'e': 0.021238808173646012}",35,21,15.151855019620832,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
174,False,"{'a': 0.1, 'e': 0.12094359992847767}",20,8,9.798111820358615,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.2194399632114593}",25,13,-30.92858163861457,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
176,False,"{'a': 0.1, 'e': 0.31574375491924334}",30,0,-163.4293591053123,"{0: 20, 1: 2, 2: 4, 3: 1, 4: 3}",0
177,False,"{'a': 0.1, 'e': 0.4088927393988798}",20,0,-55.81981774214454,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
178,False,"{'a': 0.1, 'e': 0.49795620278841546}",30,0,-97.15439343290807,"{0: 22, 1: 2, 2: 4, 3: 0, 4: 2}",0
179,False,"{'a': 0.1, 'e': 0.5820442524021253}",20,0,-69.87094560192017,"{0: 12, 1: 3, 2: 3, 3: 2, 4: 0}",0
180,False,"{'a': 0.1, 'e': 0.6603167082440802}",20,0,-108.92310296954916,"{0: 10, 1: 2, 2: 7, 3: 0, 4: 1}",0
181,False,"{'a': 0.1, 'e': 0.7319914978089467}",30,0,-113.97537191764778,"{0: 20, 1: 5, 2: 3, 3: 0, 4: 2}",0
182,False,"{'a': 0.1, 'e': 0.7963524702919231}",25,0,-49.58620229306023,"{0: 20, 1: 1, 2: 3, 3: 0, 4: 1}",0
